Date,Province,Total_Electricity,Residential_Electricity,Commercial_Electricity,Industrial_Electricity,Transportation_Electricity
2005,Alberta,211.84,27.97,45.73,137.6,0.54
2006,Alberta,222.61,29.64,48.34,144.27,0.36
2007,Alberta,222.51,30.81,48.89,142.37,0.44
2008,Alberta,224.84,31.8,49.95,142.78,0.32
2009,Alberta,225.57,32.72,50.27,142.24,0.35
2010,Alberta,226.28,32.65,51.13,142.1,0.39
2011,Alberta,235.39,33.6,52.7,148.59,0.51
2012,Alberta,243.92,33.88,54.85,154.81,0.38
2013,Alberta,246.92,34.84,59.29,152.41,0.38
2014,Alberta,260.14,35.74,60.55,163.43,0.42
2015,Alberta,267.66,35.61,60.24,171.43,0.38
2016,Alberta,264.53,35.69,60.19,168.27,0.38
2017,Alberta,270.28,36.24,62.01,171.62,0.41
2018,Alberta,273.83,36.87,64.31,172.23,0.42
2019,Alberta,278.58,36.62,63.36,178.18,0.41
2020,Alberta,284.94,42.86,60.97,180.79,0.33
2021,Alberta,269.72,35.96,60.47,172.96,0.34
2022,Alberta,281.73,37.91,63.06,180.39,0.38
2023,Alberta,282.68,39.72,64.75,177.49,0.71
2024,Alberta,286.61,40.98,65.53,178.75,1.35
2025,Alberta,290.4,42.25,65.66,180.23,2.26
2026,Alberta,295.34,43.45,66.13,181.78,3.98
2027,Alberta,306.07,44.66,66.93,187.69,6.8
2028,Alberta,312.76,45.92,67.86,188.57,10.41
2029,Alberta,321.63,47.13,68.97,190.91,14.62
2030,Alberta,330.63,48.29,70.15,192.9,19.29
2031,Alberta,342.41,49.73,71.38,196.98,24.32
2032,Alberta,350.16,51.34,72.82,196.17,29.82
2033,Alberta,355.79,53.1,74.29,193.05,35.35
2034,Alberta,361.04,55.0,75.87,189.24,40.93
2035,Alberta,364.56,56.95,77.44,184.49,45.68
2036,Alberta,368.58,58.95,78.95,179.83,50.85
2037,Alberta,373.4,61.01,80.47,175.84,56.07
2038,Alberta,378.8,63.11,81.94,172.71,61.04
2039,Alberta,385.21,65.26,83.42,170.64,65.89
2040,Alberta,393.64,67.42,84.98,170.34,70.89
2041,Alberta,402.45,69.63,86.62,170.43,75.77
2042,Alberta,411.46,71.8,88.27,171.09,80.3
2043,Alberta,420.9,73.95,89.93,172.44,84.58
2044,Alberta,430.47,76.05,91.51,174.34,88.57
2045,Alberta,439.18,78.07,93.05,176.02,92.04
2046,Alberta,448.56,80.01,94.53,178.65,95.37
2047,Alberta,460.13,81.88,96.13,183.35,98.78
2048,Alberta,472.41,83.72,97.71,188.85,102.13
2049,Alberta,484.28,85.49,99.29,194.3,105.2
2050,Alberta,495.31,87.16,100.81,199.21,108.14
2005,British Columbia,227.8,63.41,52.68,111.2,0.51
2006,British Columbia,218.67,63.78,53.77,100.69,0.42
2007,British Columbia,219.55,66.11,54.7,98.22,0.51
2008,British Columbia,213.86,67.44,54.89,90.92,0.61
2009,British Columbia,214.65,69.41,53.94,90.62,0.67
2010,British Columbia,210.25,67.62,53.97,87.89,0.77
2011,British Columbia,210.47,70.47,54.5,84.76,0.73
2012,British Columbia,209.2,68.54,55.09,84.78,0.8
2013,British Columbia,209.38,69.62,53.36,85.65,0.76
2014,British Columbia,204.08,68.58,53.59,81.09,0.82
2015,British Columbia,199.45,66.04,53.95,78.73,0.73
2016,British Columbia,214.96,67.29,53.48,93.44,0.74
2017,British Columbia,218.05,71.17,54.12,92.0,0.76
2018,British Columbia,217.06,69.07,54.26,92.97,0.76
2019,British Columbia,215.74,67.22,54.42,93.32,0.78
2020,British Columbia,209.01,72.58,52.05,83.75,0.63
2021,British Columbia,208.15,65.73,53.03,88.72,0.67
2022,British Columbia,222.13,70.39,57.05,93.63,1.06
2023,British Columbia,231.48,73.57,59.45,96.24,2.21
2024,British Columbia,238.86,75.48,61.12,98.51,3.75
2025,British Columbia,247.54,77.33,62.62,101.97,5.61
2026,British Columbia,256.15,79.0,64.29,104.68,8.18
2027,British Columbia,263.82,80.5,65.96,105.84,11.53
2028,British Columbia,273.42,81.86,67.27,109.12,15.18
2029,British Columbia,283.19,83.03,68.37,112.77,19.02
2030,British Columbia,290.64,84.05,69.26,114.73,22.61
2031,British Columbia,298.67,85.43,70.17,116.66,26.41
2032,British Columbia,306.86,86.87,71.21,118.29,30.49
2033,British Columbia,315.04,88.38,72.14,119.77,34.76
2034,British Columbia,323.19,89.99,73.25,120.63,39.33
2035,British Columbia,331.06,91.65,74.54,121.17,43.7
2036,British Columbia,340.32,93.32,76.03,121.82,49.14
2037,British Columbia,349.94,94.97,77.57,122.79,54.61
2038,British Columbia,359.33,96.58,79.07,123.8,59.89
2039,British Columbia,368.6,98.09,80.4,125.21,64.91
2040,British Columbia,377.79,99.49,81.56,127.0,69.74
2041,British Columbia,386.92,100.85,82.52,129.13,74.42
2042,British Columbia,395.87,102.12,83.21,131.73,78.81
2043,British Columbia,405.0,103.36,83.78,134.83,83.03
2044,British Columbia,414.37,104.57,84.21,138.46,87.13
2045,British Columbia,421.45,105.76,84.63,140.53,90.53
2046,British Columbia,428.24,106.89,84.99,142.88,93.49
2047,British Columbia,437.85,108.03,85.35,147.7,96.77
2048,British Columbia,448.92,109.26,85.81,153.45,100.39
2049,British Columbia,461.37,110.62,86.4,160.02,104.33
2050,British Columbia,474.53,112.11,87.26,166.69,108.47
2005,Canada,1874.59,543.37,439.43,888.25,3.53
2006,Canada,1855.29,530.64,430.99,890.16,3.5
2007,Canada,1878.76,557.95,439.88,877.65,3.28
2008,Canada,1882.82,562.93,455.32,860.8,3.78
2009,Canada,1823.24,577.74,444.83,797.24,3.43
2010,Canada,1840.06,574.18,454.44,807.85,3.59
2011,Canada,1879.68,591.31,469.5,815.15,3.72
2012,Canada,1863.67,589.29,463.47,807.23,3.68
2013,Canada,1902.27,611.3,481.0,805.89,4.08
2014,Canada,1936.07,626.9,499.56,805.13,4.48
2015,Canada,1930.24,613.24,501.53,811.09,4.39
2016,Canada,1935.14,598.49,498.39,833.88,4.39
2017,Canada,1959.51,603.1,524.9,827.12,4.4
2018,Canada,2017.04,620.16,544.38,848.09,4.41
2019,Canada,2022.9,617.87,542.71,857.69,4.63
2020,Canada,1990.46,636.72,521.37,828.65,3.72
2021,Canada,1967.26,614.64,525.08,823.62,3.92
2022,Canada,2079.59,653.44,554.92,865.7,5.53
2023,Canada,2113.32,671.67,572.4,859.56,9.69
2024,Canada,2157.3,684.1,582.59,873.65,16.96
2025,Canada,2202.51,695.74,591.87,888.06,26.84
2026,Canada,2257.04,705.66,602.59,907.55,41.24
2027,Canada,2315.86,714.47,614.91,924.41,62.06
2028,Canada,2373.08,722.69,626.49,936.9,87.0
2029,Canada,2439.64,729.96,638.15,955.7,115.82
2030,Canada,2500.83,736.29,648.68,969.76,146.1
2031,Canada,2570.15,744.31,660.14,986.12,179.57
2032,Canada,2639.13,752.8,672.92,996.94,216.47
2033,Canada,2708.5,761.59,686.02,1005.19,255.7
2034,Canada,2776.51,770.45,699.39,1010.64,296.03
2035,Canada,2837.24,779.19,712.6,1012.76,332.7
2036,Canada,2900.56,787.74,725.4,1014.11,373.31
2037,Canada,2964.27,795.99,737.42,1017.62,413.24
2038,Canada,3025.33,803.8,748.54,1021.54,451.44
2039,Canada,3085.24,811.07,759.08,1027.18,487.91
2040,Canada,3145.28,817.82,769.12,1035.59,522.74
2041,Canada,3202.65,824.25,778.54,1044.09,555.77
2042,Canada,3256.25,830.18,787.07,1052.99,586.02
2043,Canada,3308.88,835.72,795.13,1063.69,614.34
2044,Canada,3360.07,840.83,802.52,1075.93,640.79
2045,Canada,3406.18,845.65,809.74,1085.83,664.96
2046,Canada,3451.66,849.97,816.69,1097.26,687.74
2047,Canada,3501.36,854.03,823.54,1113.96,709.84
2048,Canada,3552.23,858.05,830.24,1132.85,731.09
2049,Canada,3603.55,861.79,836.38,1153.88,751.49
2050,Canada,3653.14,865.22,841.99,1174.82,771.12
2005,Manitoba,73.15,22.45,20.54,30.16,0.0
2006,Manitoba,67.53,20.36,19.76,27.41,0.0
2007,Manitoba,71.36,26.73,19.09,25.55,0.0
2008,Manitoba,73.05,27.6,19.02,26.43,0.0
2009,Manitoba,72.2,28.47,19.47,24.27,0.0
2010,Manitoba,70.39,27.49,18.49,24.4,0.0
2011,Manitoba,72.67,28.83,19.48,24.35,0.0
2012,Manitoba,75.48,28.11,18.06,29.31,0.0
2013,Manitoba,79.16,30.9,20.8,27.47,0.0
2014,Manitoba,79.59,32.04,23.37,24.18,0.0
2015,Manitoba,77.77,29.72,24.27,23.78,0.0
2016,Manitoba,79.31,28.75,24.42,26.14,0.0
2017,Manitoba,78.57,29.55,25.25,23.77,0.0
2018,Manitoba,82.09,31.91,25.98,24.2,0.0
2019,Manitoba,80.16,31.65,25.28,23.23,0.0
2020,Manitoba,78.73,31.79,24.28,22.66,0.0
2021,Manitoba,76.27,30.97,24.41,20.89,0.0
2022,Manitoba,81.33,33.01,25.79,22.51,0.02
2023,Manitoba,83.3,34.06,26.48,22.62,0.14
2024,Manitoba,85.12,34.83,26.82,23.09,0.38
2025,Manitoba,86.93,35.56,27.21,23.43,0.72
2026,Manitoba,88.7,36.18,27.59,23.66,1.28
2027,Manitoba,90.81,36.72,27.98,23.96,2.15
2028,Manitoba,92.95,37.17,28.33,24.21,3.23
2029,Manitoba,95.24,37.57,28.72,24.44,4.51
2030,Manitoba,97.48,37.9,29.03,24.67,5.88
2031,Manitoba,99.81,38.26,29.2,24.93,7.41
2032,Manitoba,102.49,38.64,29.48,25.22,9.15
2033,Manitoba,105.29,39.02,29.67,25.53,11.07
2034,Manitoba,108.07,39.41,29.77,25.79,13.11
2035,Manitoba,110.45,39.74,29.88,25.99,14.84
2036,Manitoba,113.0,40.07,29.96,26.13,16.85
2037,Manitoba,115.49,40.37,30.02,26.28,18.82
2038,Manitoba,117.81,40.63,30.01,26.41,20.75
2039,Manitoba,120.11,40.88,30.03,26.58,22.63
2040,Manitoba,122.45,41.09,30.11,26.78,24.47
2041,Manitoba,124.71,41.29,30.16,27.0,26.27
2042,Manitoba,126.84,41.48,30.13,27.25,27.99
2043,Manitoba,128.95,41.65,30.13,27.53,29.64
2044,Manitoba,130.92,41.81,30.06,27.86,31.2
2045,Manitoba,132.82,41.97,29.98,28.18,32.69
2046,Manitoba,134.55,42.1,29.85,28.51,34.1
2047,Manitoba,136.33,42.2,29.83,28.88,35.43
2048,Manitoba,138.13,42.28,29.85,29.29,36.71
2049,Manitoba,139.83,42.36,29.76,29.76,37.95
2050,Manitoba,141.5,42.42,29.65,30.25,39.18
2005,Ontario,469.62,164.27,142.12,161.82,1.41
2006,Ontario,473.94,153.59,135.76,183.0,1.6
2007,Ontario,476.15,156.66,129.43,188.89,1.17
2008,Ontario,481.54,155.09,137.36,187.53,1.56
2009,Ontario,454.89,158.72,135.44,159.58,1.15
2010,Ontario,483.97,169.8,149.03,163.97,1.17
2011,Ontario,496.61,167.39,160.03,168.01,1.18
2012,Ontario,489.71,170.02,150.58,167.97,1.14
2013,Ontario,499.19,170.41,163.51,164.09,1.18
2014,Ontario,495.62,169.27,169.85,155.02,1.47
2015,Ontario,497.37,171.28,170.74,153.83,1.53
2016,Ontario,489.06,164.42,166.19,156.91,1.54
2017,Ontario,498.89,159.29,187.87,150.22,1.5
2018,Ontario,513.64,161.83,194.08,156.22,1.51
2019,Ontario,503.86,159.73,192.26,150.35,1.52
2020,Ontario,497.89,165.72,185.58,145.38,1.22
2021,Ontario,490.56,165.68,186.82,136.76,1.29
2022,Ontario,522.49,176.73,197.85,145.98,1.93
2023,Ontario,530.86,182.26,203.28,142.55,2.77
2024,Ontario,544.81,186.71,207.01,146.26,4.83
2025,Ontario,558.86,191.21,210.72,148.95,7.98
2026,Ontario,579.23,195.3,215.64,155.57,12.72
2027,Ontario,601.53,199.28,221.97,160.34,19.94
2028,Ontario,624.58,203.16,228.3,164.08,29.03
2029,Ontario,652.4,206.94,234.85,170.48,40.14
2030,Ontario,678.67,210.56,240.66,175.23,52.21
2031,Ontario,708.61,214.89,247.13,180.7,65.88
2032,Ontario,741.53,219.54,254.28,186.49,81.23
2033,Ontario,776.78,224.4,261.92,192.61,97.85
2034,Ontario,811.46,229.24,269.6,197.92,114.7
2035,Ontario,843.84,234.07,277.28,202.6,129.88
2036,Ontario,876.19,238.79,284.34,207.24,145.83
2037,Ontario,908.32,243.34,290.89,212.78,161.31
2038,Ontario,938.9,247.64,297.01,218.27,175.97
2039,Ontario,968.21,251.67,302.81,224.13,189.59
2040,Ontario,996.36,255.45,308.37,230.58,201.96
2041,Ontario,1021.12,258.98,313.68,235.6,212.85
2042,Ontario,1043.81,262.28,318.61,240.57,222.35
2043,Ontario,1065.3,265.33,323.32,245.75,230.9
2044,Ontario,1085.34,268.12,327.72,250.93,238.57
2045,Ontario,1104.36,270.71,331.85,255.99,245.8
2046,Ontario,1122.59,273.04,335.81,261.02,252.72
2047,Ontario,1139.78,275.17,339.43,265.98,259.2
2048,Ontario,1156.42,277.16,342.76,271.09,265.41
2049,Ontario,1172.45,278.8,345.61,276.71,271.33
2050,Ontario,1187.31,280.1,347.92,282.27,277.02
2005,Quebec,693.59,206.31,127.26,358.97,1.05
2006,Quebec,684.04,205.28,123.92,353.76,1.08
2007,Quebec,684.75,217.37,132.44,333.79,1.15
2008,Quebec,688.75,220.29,138.28,328.9,1.28
2009,Quebec,659.59,226.18,130.31,301.86,1.26
2010,Quebec,646.94,216.06,129.29,300.34,1.25
2011,Quebec,663.13,227.92,128.32,305.61,1.29
2012,Quebec,644.24,226.54,130.02,286.31,1.37
2013,Quebec,663.21,239.64,131.48,290.33,1.77
2014,Quebec,689.32,253.7,133.5,300.36,1.77
2015,Quebec,678.53,242.88,132.91,301.0,1.74
2016,Quebec,676.05,236.06,132.28,306.0,1.72
2017,Quebec,675.28,239.78,132.8,300.99,1.71
2018,Quebec,708.65,251.7,141.0,314.22,1.72
2019,Quebec,725.27,254.69,143.04,325.63,1.92
2020,Quebec,706.63,255.28,136.8,313.01,1.54
2021,Quebec,707.5,249.75,137.21,318.93,1.62
2022,Quebec,741.96,263.97,144.5,331.4,2.09
2023,Quebec,749.31,267.8,149.47,328.57,3.48
2024,Quebec,759.22,269.94,151.88,331.83,5.57
2025,Quebec,770.03,271.5,154.2,336.1,8.22
2026,Quebec,784.07,272.38,156.28,343.84,11.57
2027,Quebec,795.15,272.72,158.24,348.37,15.81
2028,Quebec,806.1,272.88,160.03,352.66,20.54
2029,Quebec,818.58,272.62,161.68,358.6,25.68
2030,Quebec,830.02,271.97,163.34,363.93,30.78
2031,Quebec,841.87,271.56,165.49,368.5,36.31
2032,Quebec,853.44,270.98,167.82,372.41,42.23
2033,Quebec,864.47,270.24,170.23,375.54,48.46
2034,Quebec,874.35,269.36,172.58,377.54,54.88
2035,Quebec,883.0,268.31,174.78,378.92,60.98
2036,Quebec,891.55,267.16,176.84,379.67,67.88
2037,Quebec,899.64,265.92,178.66,380.38,74.68
2038,Quebec,906.67,264.59,180.24,380.47,81.36
2039,Quebec,913.13,263.16,181.65,380.41,87.9
2040,Quebec,919.07,261.67,182.89,380.14,94.37
2041,Quebec,924.99,260.16,184.1,379.95,100.78
2042,Quebec,930.02,258.56,185.19,379.4,106.87
2043,Quebec,934.98,256.92,186.31,379.06,112.7
2044,Quebec,939.7,255.27,187.32,378.88,118.23
2045,Quebec,944.04,253.63,188.42,378.47,123.52
2046,Quebec,948.13,251.99,189.6,378.04,128.5
2047,Quebec,952.1,250.39,190.8,377.83,133.08
2048,Quebec,955.87,248.9,191.95,377.75,137.28
2049,Quebec,959.55,247.4,193.22,378.13,140.79
2050,Quebec,962.87,245.95,194.43,378.66,143.83
2005,Saskatchewan,60.8,10.43,18.66,31.7,0.0
2006,Saskatchewan,61.06,10.5,20.17,30.38,0.0
2007,Saskatchewan,65.17,10.94,20.23,33.99,0.0
2008,Saskatchewan,65.59,11.22,20.6,33.77,0.0
2009,Saskatchewan,65.42,11.77,20.56,33.09,0.0
2010,Saskatchewan,69.4,11.82,19.6,37.98,0.0
2011,Saskatchewan,71.34,12.28,20.07,38.99,0.0
2012,Saskatchewan,71.07,12.0,20.07,38.99,0.0
2013,Saskatchewan,76.1,12.95,20.67,42.48,0.0
2014,Saskatchewan,78.88,13.31,22.57,43.01,0.0
2015,Saskatchewan,79.61,12.96,23.61,43.04,0.0
2016,Saskatchewan,81.27,12.62,24.9,43.75,0.0
2017,Saskatchewan,84.72,12.94,26.13,45.64,0.0
2018,Saskatchewan,86.36,13.24,26.84,46.28,0.0
2019,Saskatchewan,85.44,12.83,26.53,46.08,0.0
2020,Saskatchewan,82.7,13.18,25.48,44.04,0.0
2021,Saskatchewan,81.51,12.47,26.05,42.99,0.0
2022,Saskatchewan,87.46,13.42,27.51,46.51,0.02
2023,Saskatchewan,88.87,14.0,28.45,46.29,0.14
2024,Saskatchewan,91.24,14.46,28.92,47.46,0.39
2025,Saskatchewan,93.29,14.93,29.32,48.28,0.76
2026,Saskatchewan,95.7,15.35,29.71,49.24,1.41
2027,Saskatchewan,97.82,15.74,30.06,49.55,2.47
2028,Saskatchewan,99.26,16.12,30.28,49.04,3.81
2029,Saskatchewan,101.66,16.47,30.53,49.18,5.47
2030,Saskatchewan,103.95,16.81,30.75,49.03,7.36
2031,Saskatchewan,106.75,17.21,30.76,49.14,9.64
2032,Saskatchewan,109.95,17.64,30.88,49.18,12.25
2033,Saskatchewan,113.77,18.13,30.88,49.59,15.17
2034,Saskatchewan,118.27,18.65,30.86,50.42,18.35
2035,Saskatchewan,121.98,19.2,30.82,50.76,21.19
2036,Saskatchewan,125.77,19.77,30.89,50.95,24.16
2037,Saskatchewan,129.41,20.35,31.02,51.07,26.98
2038,Saskatchewan,133.01,20.92,31.08,51.39,29.62
2039,Saskatchewan,136.38,21.48,31.21,51.62,32.08
2040,Saskatchewan,139.9,22.01,31.36,52.1,34.43
2041,Saskatchewan,143.54,22.52,31.44,52.79,36.8
2042,Saskatchewan,146.81,23.01,31.42,53.55,38.84
2043,Saskatchewan,149.96,23.47,31.36,54.43,40.7
2044,Saskatchewan,153.13,23.89,31.27,55.54,42.42
2045,Saskatchewan,156.06,24.3,31.09,56.73,43.95
2046,Saskatchewan,159.36,24.69,30.89,58.3,45.48
2047,Saskatchewan,163.06,25.07,30.88,60.13,46.98
2048,Saskatchewan,166.96,25.43,30.92,62.15,48.45
2049,Saskatchewan,170.95,25.79,30.87,64.38,49.91
2050,Saskatchewan,175.11,26.13,30.77,66.81,51.41
